Município;Assist_Soc;Psic;Psiqui;Acoes_prom;Acoes_comp;2017;2018;2019;2020;2021;Ar_Ter_km2;Pop_Est;PIB;IDH
410855 Godoy Moreira;2.0;2.0;0.0;0;0;71;58;0;0;0;7024710;69970;2525949;6.41
411695 Nova Esperança do Sudoeste;2.0;1.0;0.0;71026;0;20;17;0;0;0;1210205;114620;1753932;6.42
410710 Diamante do Norte;2.0;1.0;0.0;416;0;28;0;0;0;0;30911;52790;1908591;6.44
410765 Fazenda Rio Grande;5.0;22.0;1.0;12552;0;1034;899;0;0;0;4065;55610;3121474;6.45
410845 Foz do Jordão;2.0;3.0;0.0;19603;0;22;22;0;0;0;2353820;44660;2585165;6.45
411420 Mandaguari;4.0;20.0;2.0;89463;14191;1576;0;0;7986;14191;2164150;24420;1993053;6.45
412160 Renascença;2.0;4.0;0.0;67368;0;0;0;0;0;0;8342320;81270;1984419;6.48
411125 Itaperuçu;3.0;6.0;0.0;0;0;0;91;0;0;0;6078480;140490;2724057;6.51
411721 Nova Santa Bárbara;1.0;1.0;0.0;0;0;0;0;0;0;0;5456860;52520;2256221;6.51
410832 Francisco Alves;0.0;1.0;0.0;24753;4478;330;15236;25058;15695;4478;1071183;136610;2091385;6.52
411030 Inajá;0.0;1.0;0.0;337;0;0;0;0;0;0;9270870;153270;3339021;6.52
411570 Matinhos;5.0;11.0;0.0;57661;0;0;0;0;0;0;1083240;109940;2837951;6.52
412290 Salto do Itararé;1.0;3.0;0.0;6293;0;28;9;0;0;0;780450;32080;2221079;6.53
411925 Pinhal de São Bento;1.0;1.0;0.0;4135;0;10;0;0;0;0;2001588;327220;4865061;6.54
410302 Boa Esperança do Iguaçu;1.0;2.0;0.0;7386;0;0;0;0;0;0;6204530;63430;3647927;6.55
411410 Mandaguaçu;5.0;9.0;0.0;11218;0;57;59;0;0;0;3791790;277500;2321418;6.55
412600 São Sebastião da Amoreira;1.0;1.0;0.0;408;0;0;9;0;0;0;6776090;67080;1595341;6.55
410120 Antonina;2.0;3.0;1.0;25812;0;0;0;0;0;0;46962;74210;2529306;6.56
410690 Curitiba;291.0;1500.0;217.0;575068;0;15001;0;0;0;0;5762630;152890;1548522;6.56
411120 Itapejara d'Oeste;1.0;7.0;0.0;35353;0;107;88;0;0;0;12887;27000;2567747;6.56
410860 Goioerê;5.0;13.0;1.0;86191;0;186;55;0;0;0;3141980;53790;2110041;6.58
411660 Nova América da Colina;1.0;1.0;0.0;0;0;0;0;0;0;0;5554880;48270;3611051;6.58
412250 Roncador;1.0;3.0;0.0;24736;0;106;83;0;0;0;37125;45950;1763051;6.62
412625 Sarandi;8.0;21.0;1.0;48324;0;0;0;0;0;0;1441333;194410;2376098;6.63
410660 Cruzeiro do Oeste;6.0;9.0;1.0;72523;19285;16661;26539;34476;19165;19285;147835;187720;1972121;6.64
412470 São Jerônimo da Serra;3.0;4.0;0.0;786;0;0;0;0;0;0;3044130;58190;2138391;6.64
